	3rd-party-talk	Acknowledge (Backchannel)	Action-directive	Agree/Accept	Apology	Appreciation	Collaborative Completion	Conventional-closing	Conventional-opening	Declarative Yes-No-Question	Downplayer	Hold Before Answer/Agreement	No Answers	Offers, Options, Commits	Open-Question	Or-Clause	Other	Quotation	Reject	Repeat-phrase	Rhetorical-Question	Signal-non-understanding	Statement-non-opinion	Statement-opinion	Summarize/Reformulate	Thanking	Uninterpretable	Wh-Question	Yes-No-Question
Action-directive|Action-directive	0.000000	0.000000	0.022688	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001745	0.010471	0.000000	0.000000	0.025305	0.000000	0.109075	0.000000	0.000000	0.000000	0.001745	0.006981	0.000000
Action-directive|Quotation	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.052356	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Action-directive|Rhetorical-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.015707	0.000000	0.036649	0.000000	0.000000	0.000000	0.000000	0.010471	0.000000
Action-directive|Statement-non-opinion	0.000000	0.000000	0.060558	0.000000	0.000000	0.000000	0.022251	0.000000	0.000000	0.000000	0.000000	0.000000	0.002618	0.000000	0.000000	0.000000	0.000000	0.024433	0.000000	0.002618	0.031414	0.000000	0.324084	0.002618	0.000000	0.000000	0.001745	0.037696	0.018761
Action-directive|Wh-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.034031	0.005236	0.000000	0.000000	0.000000	0.007853	0.015707
Action-directive|Yes-No-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026178	0.000000	0.000000	0.000000	0.000000	0.015707	0.005236
Collaborative Completion|Action-directive	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.047120	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236
Collaborative Completion|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.123037	0.000000	0.002618	0.000000	0.000000	0.002618	0.000000
Collaborative Completion|Wh-Question	0.000000	0.000000	0.010471	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.020942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Declarative Yes-No-Question|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020942	0.000000	0.000000	0.000000	0.000000	0.005236	0.000000
Quotation|Action-directive	0.000000	0.000000	0.036649	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.057592	0.000000	0.000000	0.000000	0.000000	0.000000	0.010471
